Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
17	10:50:45	10:50:45	10:50:45	10:50:45	10:53:03	10:53:03			10:53:08	10:53:08	10:53:20	10:53:20	10:55:26	10:55:26	10:55:26	10:55:26	10:55:26	10:55:26			10:56:00	10:56:00		00:00:00	00:02:17		00:00:05	00:00:12	00:02:05	00:00:00	00:00:00		00:00:34	00:05:15
18	10:56:01	10:56:01	10:56:08	10:56:08	10:58:48	10:58:48			10:58:54	10:58:54	10:59:06	10:59:06	11:01:54	11:01:54	11:01:54	11:01:54	11:01:55	11:01:55			11:02:24	11:02:24		00:00:06	00:02:40		00:00:05	00:00:12	00:02:47	00:00:00	00:00:00		00:00:28	00:06:22
19	11:02:24	11:02:24	11:02:25	11:02:25	11:04:41	11:04:41			11:04:45	11:04:45	11:04:55	11:04:55	11:07:42	11:07:42	11:07:43	11:07:43	11:07:43	11:07:43			11:08:04	11:08:04		00:00:00	00:02:16		00:00:04	00:00:09	00:02:47	00:00:00	00:00:00		00:00:20	00:05:39
20	11:08:04	11:08:04	11:08:05	11:08:05	11:10:26	11:10:26			11:10:31	11:10:31	11:10:39	11:10:39	11:14:30	11:14:30	11:14:31	11:14:31	11:14:31	11:14:31	11:14:31	11:14:31	11:15:36	11:15:36		00:00:00	00:02:21		00:00:04	00:00:08	00:03:51	00:00:00	00:00:00	00:00:00	00:01:04	00:07:31
21	11:15:36	11:15:36	11:15:39	11:15:39	11:17:53	11:17:53			11:17:57	11:17:57	11:18:12	11:18:12	11:20:26	11:20:26	11:20:27	11:20:27	11:20:27	11:20:27			11:20:30	11:20:30		00:00:03	00:02:13		00:00:04	00:00:14	00:02:14	00:00:00	00:00:00		00:00:03	00:04:53
22	11:20:30	11:20:30	11:20:30	11:20:30	11:23:23	11:23:23			11:23:28	11:23:28	11:23:37	11:23:37	11:25:59	11:25:59	11:26:00	11:26:00	11:26:01	11:26:01			11:26:03	11:26:03		00:00:00	00:02:53		00:00:04	00:00:09	00:02:21	00:00:00	00:00:00		00:00:02	00:05:33
23	11:26:03	11:26:03	11:26:04	11:26:04	11:28:59	11:28:59			11:29:05	11:29:05	11:29:23	11:29:23	11:31:39	11:31:39	11:31:40	11:31:40	11:31:40	11:31:40			11:31:43	11:31:43		00:00:00	00:02:55		00:00:05	00:00:18	00:02:16	00:00:00	00:00:00		00:00:03	00:05:39
24	11:31:44	11:31:44	11:31:44	11:31:44	11:35:31	11:35:31			11:35:35	11:35:35	11:35:51	11:35:51	11:38:42	11:38:42	11:38:43	11:38:43	11:38:43	11:38:43			11:38:47	11:38:47		00:00:00	00:03:47		00:00:03	00:00:16	00:02:51	00:00:00	00:00:00		00:00:03	00:07:03
25	11:38:47	11:38:47	11:38:47	11:38:47	11:41:11	11:41:11			11:41:16	11:41:16	11:41:27	11:41:27	11:44:10	11:44:10	11:44:10	11:44:10	11:44:11	11:44:11			11:44:14	11:44:14		00:00:00	00:02:23		00:00:05	00:00:10	00:02:43	00:00:00	00:00:00		00:00:03	00:05:27
26	11:44:14	11:44:14	11:44:14	11:44:14	11:46:38	11:46:38			11:46:43	11:46:43	11:46:54	11:46:54	11:49:18	11:49:18	11:49:18	11:49:18	11:49:19	11:49:19			11:49:38	11:49:38		00:00:00	00:02:23		00:00:04	00:00:10	00:02:23	00:00:00	00:00:00		00:00:19	00:05:23
27	11:49:38	11:49:38	11:49:39	11:49:39	11:52:13	11:52:13			11:52:15	11:52:15	11:52:24	11:52:24	11:54:55	11:54:55	11:54:55	11:54:55	11:54:56	11:54:56			11:55:20	11:55:20		00:00:00	00:02:34		00:00:01	00:00:09	00:02:30	00:00:00	00:00:00		00:00:23	00:05:41
28	11:55:21	11:55:21	11:55:21	11:55:21	11:58:12	11:58:13			11:58:19	11:58:19	11:58:28	11:58:28	12:01:40	12:01:40	12:01:41	12:01:41	12:01:41	12:01:41			12:01:53	12:01:53		00:00:00	00:02:51		00:00:06	00:00:09	00:03:12	00:00:00	00:00:00		00:00:12	00:06:32
29	12:01:54	12:01:54	12:01:54	12:01:54	12:04:40	12:04:40			12:04:46	12:04:46	12:04:53	12:04:53	12:07:52	12:07:52	12:07:53	12:07:53	12:07:53	12:07:53			12:08:07	12:08:07		00:00:00	00:02:45		00:00:05	00:00:07	00:02:59	00:00:00	00:00:00		00:00:13	00:06:13
30	12:08:07	12:08:07	12:08:08	12:08:08	12:10:14	12:10:14			12:10:17	12:10:17	12:10:27	12:10:27	12:13:04	12:13:04	12:13:05	12:13:05	12:13:05	12:13:05	12:13:05	12:13:05	12:14:18	12:14:18		00:00:00	00:02:06		00:00:02	00:00:09	00:02:36	00:00:00	00:00:00	00:00:00	00:01:12	00:06:10
31	12:14:18	12:14:18	12:14:24	12:14:24	12:16:30	12:16:30			12:16:36	12:16:36	12:16:48	12:16:48	12:19:32	12:19:32	12:19:32	12:19:32	12:19:33	12:19:33			12:19:34	12:19:34		00:00:05	00:02:06		00:00:05	00:00:11	00:02:44	00:00:00	00:00:00		00:00:01	00:05:16
32	12:19:35	12:19:35	12:19:35	12:19:35	12:21:50	12:21:50			12:21:58	12:21:58	12:22:05	12:22:05	12:24:39	12:24:39	12:24:39	12:24:39	12:24:39	12:24:39			12:24:41	12:24:41		00:00:00	00:02:15		00:00:08	00:00:06	00:02:33	00:00:00	00:00:00		00:00:01	00:05:06
33	12:24:41	12:24:41	12:24:41	12:24:41	12:26:42	12:26:42			12:26:46	12:26:46	12:26:58	12:26:58	12:29:26	12:29:26	12:29:26	12:29:26	12:29:27	12:29:27			12:29:28	12:29:28		00:00:00	00:02:00		00:00:04	00:00:12	00:02:27	00:00:00	00:00:00		00:00:01	00:04:47
34	12:29:28	12:29:28	12:29:28	12:29:28	12:31:01	12:31:01			12:31:07	12:31:07	12:31:18	12:31:18	12:34:02	12:34:02	12:34:02	12:34:02	12:34:03	12:34:03			12:34:05	12:34:05		00:00:00	00:01:32		00:00:05	00:00:10	00:02:44	00:00:00	00:00:00		00:00:02	00:04:36
35	12:34:05	12:34:05	12:34:05	12:34:05	12:35:48	12:35:48			12:35:52	12:35:52	12:36:00	12:36:00	12:38:46	12:38:46	12:38:46	12:38:46	12:38:47	12:38:47			12:38:51	12:38:51		00:00:00	00:01:42		00:00:03	00:00:08	00:02:46	00:00:00	00:00:00		00:00:03	00:04:45
36	12:38:51	12:38:51	12:38:51	12:38:51	12:40:43	12:40:43			12:40:51	12:40:51	12:41:01	12:41:01	12:43:47	12:43:47	12:43:48	12:43:48	12:43:49	12:43:49			12:44:08	12:44:08		00:00:00	00:01:51		00:00:07	00:00:10	00:02:46	00:00:00	00:00:00		00:00:18	00:05:16
37	12:44:08	12:44:08	12:44:09	12:44:09	12:45:59	12:45:59			12:46:06	12:46:06	12:46:17	12:46:17	12:49:00	12:49:00	12:49:00	12:49:00	12:49:01	12:49:01			12:49:20	12:49:20		00:00:00	00:01:50		00:00:06	00:00:10	00:02:43	00:00:00	00:00:00		00:00:19	00:05:12
38	12:49:21	12:49:21	12:49:21	12:49:21	12:51:33	12:51:33			12:51:38	12:51:38	12:51:46	12:51:46	12:54:29	12:54:29	12:54:29	12:54:29	12:54:29	12:54:29			12:54:44	12:54:44		00:00:00	00:02:11		00:00:05	00:00:07	00:02:42	00:00:00	00:00:00		00:00:14	00:05:23
39	12:54:44	12:54:44	12:54:44	12:54:44	12:57:32	12:57:32			12:57:36	12:57:36	12:57:40	12:57:40	13:00:35	13:00:35	13:00:35	13:00:35	13:00:35	13:00:35			13:00:53	13:00:53		00:00:00	00:02:47		00:00:03	00:00:04	00:02:54	00:00:00	00:00:00		00:00:17	00:06:08
40	13:00:54	13:00:54	13:00:54	13:00:54	13:03:50	13:03:50			13:03:54	13:03:54	13:04:07	13:04:07	13:06:29	13:06:29	13:06:29	13:06:29	13:06:30	13:06:30	13:06:30	13:06:30	13:07:37	13:07:37		00:00:00	00:02:56		00:00:04	00:00:13	00:02:21	00:00:00	00:00:00	00:00:00	00:01:07	00:06:43
41	13:07:37	13:07:37	13:07:43	13:07:43	13:10:36	13:10:36			13:10:42	13:10:42	13:10:56	13:10:56	13:14:10	13:14:10	13:14:10	13:14:10	13:14:11	13:14:11			13:14:13	13:14:13		00:00:05	00:02:52		00:00:05	00:00:14	00:03:13	00:00:00	00:00:00		00:00:02	00:06:36
42	13:14:14	13:14:14	13:14:14	13:14:14	13:16:45	13:16:45			13:16:50	13:16:50	13:16:54	13:16:54	13:19:47	13:19:47	13:19:48	13:19:48	13:19:48	13:19:48			13:19:50	13:19:50		00:00:00	00:02:31		00:00:04	00:00:04	00:02:53	00:00:00	00:00:00		00:00:02	00:05:36
43	13:19:50	13:19:51	13:19:51	13:19:51	13:22:37	13:22:37			13:22:40	13:22:40	13:22:48	13:22:48	13:25:36	13:25:36	13:25:36	13:25:36	13:25:37	13:25:37			13:25:41	13:25:41		00:00:00	00:02:46		00:00:03	00:00:08	00:02:47	00:00:00	00:00:00		00:00:04	00:05:50
44	13:25:42	13:25:42	13:25:42	13:25:42	13:28:27	13:28:27			13:28:33	13:28:33	13:28:43	13:28:43	13:31:57	13:31:57	13:31:58	13:31:58	13:31:58	13:31:58			13:32:04	13:32:04		00:00:00	00:02:45		00:00:05	00:00:10	00:03:13	00:00:00	00:00:00		00:00:05	00:06:22
45	13:32:05	13:32:05	13:32:05	13:32:05	13:34:24	13:34:24			13:34:27	13:34:27	13:34:34	13:34:34	13:36:43	13:36:43	13:36:44	13:36:44	13:36:44	13:36:44			13:36:47	13:36:47		00:00:00	00:02:19		00:00:03	00:00:06	00:02:09	00:00:00	00:00:00		00:00:02	00:04:42
46	13:36:47	13:36:47	13:36:47	13:36:47	13:38:58	13:38:58			13:39:02	13:39:02	13:39:14	13:39:14	13:41:48	13:41:48	13:41:48	13:41:48	13:41:49	13:41:49			13:42:29	13:42:29		00:00:00	00:02:10		00:00:04	00:00:12	00:02:33	00:00:00	00:00:00		00:00:39	00:05:42
47	13:42:30	13:42:30	13:42:31	13:42:31	13:45:21	13:45:21			13:45:27	13:45:27	13:45:36	13:45:36	13:48:29	13:48:29	13:48:29	13:48:29	13:48:30	13:48:30			13:48:53	13:48:53		00:00:01	00:02:50		00:00:06	00:00:08	00:02:53	00:00:00	00:00:00		00:00:22	00:06:23
48	13:48:53	13:48:53	13:48:55	13:48:55	13:51:40	13:51:40			13:51:42	13:51:42	13:51:48	13:51:48	13:54:59	13:54:59	13:55:00	13:55:00	13:55:00	13:55:00			13:55:24	13:55:24		00:00:01	00:02:44		00:00:02	00:00:05	00:03:11	00:00:00	00:00:00		00:00:23	00:06:30
49	13:55:25	13:55:25	13:55:25	13:55:25	13:59:22	13:59:22			13:59:27	13:59:27	13:59:41	13:59:41	14:03:19	14:03:19	14:03:20	14:03:20	14:03:21	14:03:21			14:03:47	14:03:47		00:00:00	00:03:56		00:00:05	00:00:13	00:03:37	00:00:00	00:00:00		00:00:25	00:08:21
50	14:03:47	14:03:47	14:03:48	14:03:48	14:06:17	14:06:17			14:06:23	14:06:23	14:06:36	14:06:36	14:09:52	14:09:52	14:09:53	14:09:53	14:09:54	14:09:54	14:09:54	14:09:54	14:10:59	14:10:59		00:00:00	00:02:29		00:00:05	00:00:13	00:03:15	00:00:00	00:00:00	00:00:00	00:01:05	00:07:12
51	14:11:00	14:11:00	14:11:04	14:11:04	14:13:39	14:13:39			14:13:45	14:13:45	14:13:57	14:13:57	14:16:28	14:16:28	14:16:28	14:16:28	14:16:29	14:16:29			14:16:31	14:16:31		00:00:04	00:02:34		00:00:06	00:00:11	00:02:31	00:00:00	00:00:00		00:00:02	00:05:30
52	14:16:31	14:16:31	14:16:31	14:16:31	14:19:41	14:19:41			14:19:48	14:19:48	14:20:05	14:20:05	14:23:17	14:23:17	14:23:17	14:23:17	14:23:17	14:23:17			14:23:20	14:23:20		00:00:00	00:03:09		00:00:06	00:00:16	00:03:12	00:00:00	00:00:00		00:00:02	00:06:48
53	14:23:20	14:23:20	14:23:20	14:23:20	14:26:36	14:26:36			14:26:42	14:26:42	14:26:55	14:26:55	14:29:46	14:29:46	14:29:47	14:29:47	14:29:47	14:29:47			14:29:49	14:29:49		00:00:00	00:03:15		00:00:06	00:00:12	00:02:51	00:00:00	00:00:00		00:00:02	00:06:29
54	14:29:49	14:29:49	14:29:50	14:29:50	14:33:00	14:33:00			14:33:04	14:33:04	14:33:14	14:33:14	14:35:53	14:35:53	14:35:54	14:35:54	14:35:54	14:35:54			14:35:57	14:35:57		00:00:00	00:03:10		00:00:03	00:00:10	00:02:38	00:00:01	00:00:00		00:00:02	00:06:07
55	14:35:57	14:35:57	14:35:57	14:35:57	14:39:00	14:39:00			14:39:04	14:39:04	14:39:15	14:39:15	14:42:20	14:42:20	14:42:20	14:42:20	14:42:21	14:42:21			14:42:23	14:42:23		00:00:00	00:03:03		00:00:03	00:00:11	00:03:04	00:00:00	00:00:00		00:00:02	00:06:26
56	14:42:23	14:42:23	14:42:24	14:42:24	14:46:07	14:46:07			14:46:09	14:46:09	14:46:16	14:46:16	14:49:01	14:49:01	14:49:01	14:49:01	14:49:02	14:49:02			14:49:22	14:49:22		00:00:00	00:03:43		00:00:02	00:00:06	00:02:45	00:00:00	00:00:00		00:00:20	00:06:58
57	14:49:22	14:49:22	14:49:23	14:49:23	14:51:40	14:51:40			14:51:44	14:51:44	14:51:51	14:51:51	14:54:31	14:54:31	14:54:32	14:54:32	14:54:32	14:54:32			14:54:58	14:54:58		00:00:00	00:02:17		00:00:04	00:00:06	00:02:40	00:00:00	00:00:00		00:00:26	00:05:35
58	14:54:59	14:54:59	14:54:59	14:54:59	14:57:30	14:57:30			14:57:34	14:57:34	14:57:47	14:57:47	15:00:50	15:00:50	15:00:51	15:00:51	15:00:51	15:00:51			15:01:21	15:01:21		00:00:00	00:02:30		00:00:03	00:00:12	00:03:03	00:00:00	00:00:00		00:00:30	00:06:22
59	15:01:22	15:01:22	15:01:22	15:01:22	15:03:26	15:03:26			15:03:31	15:03:31	15:03:40	15:03:40	15:06:28	15:06:28	15:06:28	15:06:28	15:06:29	15:06:29			15:06:45	15:06:45		00:00:00	00:02:03		00:00:05	00:00:08	00:02:48	00:00:00	00:00:00		00:00:16	00:05:23
60	15:06:45	15:06:45	15:06:45	15:06:45	15:08:27	15:08:27	15:08:33	15:08:45	15:08:45	15:08:45	15:08:52	15:08:52	15:11:52	15:11:52	15:11:52	15:11:52	15:11:53	15:11:53	15:11:53	15:11:53	15:12:55	15:12:55		00:00:00	00:01:41	00:00:12	00:00:18	00:00:07	00:02:59	00:00:00	00:00:00	00:00:00	00:01:01	00:06:09
